# Fermi-Hubbard model DMRG. L=26, N=13
# V; μ; E; k; D; ρ [calculated 2025-05-29T19:26:34.178]
-2.63265306122449; 3.0; -140.1831974190226; -3.415709703968881e-8; 357.2817219829943; 0.9615384592596649
-2.510204081632653; 0.0; -62.24482042360436; NaN; 4.914339031410638; 0.9615384603551855
-2.510204081632653; 0.061224489795918366; -63.7753260774979; -6.900658007976309e-9; -64.44514621129323; 0.9615384588371756
-2.510204081632653; 0.12244897959183673; -65.30608194665464; 3.450592304480674e-8; -4.5186169002276255; 0.9615384609497831
-2.510204081632653; 0.1836734693877551; -66.83662479418766; -1.4066640223002004e-8; 13.372300518027446; 0.9615384600885603
-2.510204081632653; 0.24489795918367346; -68.36732785433499; 1.8985847782815316e-8; 0.24294680720968587; 0.9615384612509591
-2.510204081632653; 0.30612244897959184; -69.89791691887578; -7.776045104120517e-9; 14.038729942220089; 0.9615384607748747
-2.510204081632653; 0.3673469387755102; -71.42847317934184; -6.914207465828306e-9; -30.776743400790448; 0.9615384603515559
-2.510204081632653; 0.42857142857142855; -72.95862724786497; -1.3654222615529704e-7; -218.91979090631824; 0.9615384519918277
-2.510204081632653; 0.4897959183673469; -74.48976902364866; 1.4667343251062445e-7; 47.938292360689466; 0.9615384609718338
-2.510204081632653; 0.5510204081632653; -76.02025227661578; -3.4753501669075154e-8; -11.945807532797373; 0.9615384588440684
-2.510204081632653; 0.6122448979591837; -77.55100134224253; 4.0108107057790175e-8; 35.38498394491687; 0.9615384612996668
-2.510204081632653; 0.673469387755102; -79.08150825113884; -2.9387444884972565e-8; 9.84798731445054; 0.9615384595004355
-2.510204081632653; 0.7346938775510204; -80.61219956954898; 2.2909812121459533e-8; -7.860129808634921; 0.961538460903077
-2.510204081632653; 0.7959183673469388; -82.14283621061263; 6.514083198775708e-9; 57.25782643169126; 0.9615384613018985
-2.510204081632653; 0.8571428571428571; -83.673253520874; -4.1144185429035486e-8; -37.087239884191575; 0.9615384587828667
-2.510204081632653; 0.9183673469387755; -85.20406249691511; 4.0885178983115086e-8; 174.57362665387936; 0.9615384612860409
-2.510204081632653; 0.9795918367346939; -86.73451379782817; -2.2650825622546256e-8; 19.336272018611407; 0.9615384598992557
-2.510204081632653; 1.0408163265306123; -88.26528404163103; 1.9038520574869226e-8; 90.87780025461981; 0.9615384610648794
-2.510204081632653; 1.1020408163265305; -89.79581009097896; -6.073558989072595e-9; -26.57614685586927; 0.9615384606930288
-2.510204081632653; 1.163265306122449; -91.32640475112827; -2.7918356885573765e-9; -7.629410521464812; 0.9615384605221001
-2.510204081632653; 1.2244897959183674; -92.85712379802135; 1.2640840855541536e-8; 1.1469098162545779; 0.9615384612960292
-2.510204081632653; 1.2857142857142858; -94.38715869284816; -1.3536954705332472e-7; -176.6619435053907; 0.9615384530080977
-2.510204081632653; 1.346938775510204; -95.91825610314575; 1.2571832190092903e-7; -30.707331722015414; 0.9615384607051378
-2.510204081632653; 1.4081632653061225; -97.44882993706666; -1.4094058290818134e-8; 32.02624735032391; 0.9615384598422363
-2.510204081632653; 1.469387755102041; -98.97958837726416; 2.7165041845596692e-8; 45.367672986752886; 0.9615384615054021
-2.510204081632653; 1.530612244897959; -100.51017512355381; -5.292858521836303e-9; 60.191721655382274; 0.9615384611813496
-2.510204081632653; 1.5918367346938775; -102.04073151744936; -4.799708667550338e-9; 45.67416001611431; 0.9615384608874898
-2.510204081632653; 1.653061224489796; -103.57129904736638; -1.3262908216127286e-8; 22.538679562186186; 0.961538460075475
-2.510204081632653; 1.7142857142857142; -105.1019859616057; 1.6611203745853274e-8; -10.5432993394873; 0.9615384610924875
-2.510204081632653; 1.7755102040816326; -106.63261725350152; 2.191126132385551e-9; -0.7920565878718396; 0.9615384612266381
-2.510204081632653; 1.836734693877551; -108.16322937174986; 6.804830772940317e-10; -0.6909698093446184; 0.9615384612683003
-2.510204081632653; 1.8979591836734695; -109.69362689182962; -1.7267841082950004e-8; -81.11710238907162; 0.9615384602110856
-2.510204081632653; 1.9591836734693877; -111.2242615351478; -5.913486071188853e-9; 26.603654858384413; 0.9615384598490354
-2.510204081632653; 2.020408163265306; -112.75478192413655; -1.1892579661794904e-8; 0.8745589355864929; 0.9615384591209183
-2.510204081632653; 2.0816326530612246; -114.28520223927897; -4.858331107785788e-8; -100.76118137506087; 0.9615384561464299
